gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version DEVELOP-FOR-25.1
gem5 compiled Apr  7 2026 19:51:13
gem5 started Apr  7 2026 20:08:05
gem5 executing on cascade, pid 2700538
command line: /scr/studyztp/gem5-binary/roboarch/build/ARM/gem5.opt -re --outdir=/home/studyztp/test_ground/gem5-fix-cache-line-size/gem5/microbenchmarks/gem5-result-noart/m5out_entobench_all_bench-fetch_nop32_64 gem5/run_m5op_bench.py --no-art --firmware /scr/studyztp/benchmarks/gem5-build/bin/bench-fetch_nop32_64.elf

Global frequency set at 1000000000000 ticks per second
Starting simulation (ROI flags: none)...

*** ROI BEGIN at tick 246896950 ***
=== Benchmark Configuration ===
REPS: zu
INNER_REPS: zu
VERBOSITY: 1
MAX_PROBLEMS: zu
DO_WARMUP: true
ENABLE_CACHES: true
ENABLE_PREFETCH: true
ENABLE_VECTORIZATION: false
H7_PERFORMANCE_MULTIPLIER: zu
===============================
246967534: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13    : pop
246967534: system.cpu: T0 : 0x80072b2 @_ZL9start_roiv+13. 0 :   ldr_uop   r3, [sp, #0]   : MemRead :  D=0x0000000000000000 A=0x2001fdf8
247373392: system.cpu: T0 : 0x8007320 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+79    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247385156: system.cpu: T0 : 0x8007324 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+83    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247402802: system.cpu: T0 : 0x8007328 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+87    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247414566: system.cpu: T0 : 0x800732c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+91    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247432212: system.cpu: T0 : 0x8007330 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+95    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247443976: system.cpu: T0 : 0x8007334 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+99    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247461622: system.cpu: T0 : 0x8007338 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+103    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247473386: system.cpu: T0 : 0x800733c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+107    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247491032: system.cpu: T0 : 0x8007340 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+111    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247502796: system.cpu: T0 : 0x8007344 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+115    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247520442: system.cpu: T0 : 0x8007348 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+119    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247526324: system.cpu: T0 : 0x800734c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+123    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247543970: system.cpu: T0 : 0x8007350 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+127    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247555734: system.cpu: T0 : 0x8007354 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+131    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247573380: system.cpu: T0 : 0x8007358 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+135    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247585144: system.cpu: T0 : 0x800735c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+139    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247602790: system.cpu: T0 : 0x8007360 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+143    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247614554: system.cpu: T0 : 0x8007364 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+147    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247632200: system.cpu: T0 : 0x8007368 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+151    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247643964: system.cpu: T0 : 0x800736c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+155    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247661610: system.cpu: T0 : 0x8007370 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+159    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247673374: system.cpu: T0 : 0x8007374 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+163    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247691020: system.cpu: T0 : 0x8007378 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+167    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247702784: system.cpu: T0 : 0x800737c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+171    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247720430: system.cpu: T0 : 0x8007380 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+175    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247732194: system.cpu: T0 : 0x8007384 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+179    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247749840: system.cpu: T0 : 0x8007388 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+183    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247761604: system.cpu: T0 : 0x800738c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+187    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247773368: system.cpu: T0 : 0x8007390 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+191    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247785132: system.cpu: T0 : 0x8007394 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+195    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247802778: system.cpu: T0 : 0x8007398 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+199    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247814542: system.cpu: T0 : 0x800739c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+203    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247832188: system.cpu: T0 : 0x80073a0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+207    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247843952: system.cpu: T0 : 0x80073a4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+211    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247861598: system.cpu: T0 : 0x80073a8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+215    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247873362: system.cpu: T0 : 0x80073ac @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+219    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247891008: system.cpu: T0 : 0x80073b0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+223    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247902772: system.cpu: T0 : 0x80073b4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+227    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247920418: system.cpu: T0 : 0x80073b8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+231    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247932182: system.cpu: T0 : 0x80073bc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+235    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247949828: system.cpu: T0 : 0x80073c0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+239    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247961592: system.cpu: T0 : 0x80073c4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+243    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247979238: system.cpu: T0 : 0x80073c8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+247    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
247991002: system.cpu: T0 : 0x80073cc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+251    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248002766: system.cpu: T0 : 0x80073d0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+255    :   bx    lr                 : IntAlu :
248067468: system.cpu: T0 : 0x80074be @main+233    :   subs   r4, r4, #1        : IntAlu :  D=0x0000000000000001
248085114: system.cpu: T0 : 0x80074c0 @main+235    :   b   <main+225>           : IntAlu :
248143934: system.cpu: T0 : 0x80074ba @main+229    :   bl.w   <_ZL7end_roiv+23> : IntAlu :  D=0x00000000080074bf
248179226: system.cpu: T0 : 0x80072d0 @_ZL7end_roiv+27    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248190990: system.cpu: T0 : 0x80072d4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+3    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248208636: system.cpu: T0 : 0x80072d8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+7    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248220400: system.cpu: T0 : 0x80072dc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+11    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248232164: system.cpu: T0 : 0x80072e0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+15    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248243928: system.cpu: T0 : 0x80072e4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+19    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248261574: system.cpu: T0 : 0x80072e8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+23    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248273338: system.cpu: T0 : 0x80072ec @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+27    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248290984: system.cpu: T0 : 0x80072f0 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+31    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248302748: system.cpu: T0 : 0x80072f4 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+35    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248320394: system.cpu: T0 : 0x80072f8 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+39    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248332158: system.cpu: T0 : 0x80072fc @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+43    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248349804: system.cpu: T0 : 0x8007300 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+47    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248361568: system.cpu: T0 : 0x8007304 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+51    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248379214: system.cpu: T0 : 0x8007308 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+55    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248390978: system.cpu: T0 : 0x800730c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+59    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248408624: system.cpu: T0 : 0x8007310 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+63    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248420388: system.cpu: T0 : 0x8007314 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+67    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248438034: system.cpu: T0 : 0x8007318 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+71    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248449798: system.cpu: T0 : 0x800731c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+75    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248461562: system.cpu: T0 : 0x8007320 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+79    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248473326: system.cpu: T0 : 0x8007324 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+83    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248490972: system.cpu: T0 : 0x8007328 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+87    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248502736: system.cpu: T0 : 0x800732c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+91    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248520382: system.cpu: T0 : 0x8007330 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+95    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248532146: system.cpu: T0 : 0x8007334 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+99    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248549792: system.cpu: T0 : 0x8007338 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+103    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248561556: system.cpu: T0 : 0x800733c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+107    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248579202: system.cpu: T0 : 0x8007340 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+111    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248590966: system.cpu: T0 : 0x8007344 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+115    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248608612: system.cpu: T0 : 0x8007348 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+119    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248620376: system.cpu: T0 : 0x800734c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+123    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248638022: system.cpu: T0 : 0x8007350 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+127    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248649786: system.cpu: T0 : 0x8007354 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+131    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248667432: system.cpu: T0 : 0x8007358 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+135    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248679196: system.cpu: T0 : 0x800735c @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+139    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248696842: system.cpu: T0 : 0x8007360 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+143    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248702724: system.cpu: T0 : 0x8007364 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+147    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
248720370: system.cpu: T0 : 0x8007368 @_ZN9EntoBench12BasicProblemIZ4mainEUlvE_LNS_12InlinePolicyE1EE13call_noinlineEv.isra.0+151    :   add.w   r0, r0, #0       : IntAlu :  D=0x0000000000000000
